hxbxd,h,b,d,t,A,Wt,Cx,Cy,Ix,Iy,ix,iy,Zx,Zy,Sx,Sy
,mm,mm,mm,mm,m2,kg,cm,cm,cm4,cm4,cm,cm,cm3,cm3,cm,cm
2C-250x75x25,250,150,25,4.5,37.84,29.8,0,0,3380,258,9.44,2.62,270,47.6,0,0
2C-200x75x25,200,150,25,4.5,33.34,26.2,0,0,1980,242,7.61,2.69,198,46.6,0,0
2C-200x75x25,200,150,25,4,29.9,23.4,0,0,1790,220,7.74,2.72,179,42.6,0,0
2C-200x75x25,200,150,25,3.2,24.26,19.04,0,0,1472,184.6,7.7,2.76,147.2,35.6,0,0
2C-200x75x20,200,150,20,4.5,32.44,25.4,0,0,1926,218,7.71,2.6,192.6,41.2,0,0
2C-200x75x20,200,150,20,4,29.1,22.8,0,0,1742,200,7.74,2.62,174.2,37.8,0,0
2C-200x75x20,200,150,20,3.2,23.62,18.54,0,0,1432,168.2,7.79,2.67,143.2,31.6,0,0
2C-150x75x25,150,150,25,4.5,28.84,22.6,0,0,1002,218,5.9,2.75,133.8,45,0,0
2C-150x75x25,150,150,25,4,25.9,20.4,0,0,910,199.6,5.93,2.78,121.2,41.2,0,0
2C-150x75x25,150,150,25,3.2,21.06,16.54,0,0,750,167.2,5.97,2.82,100,34.6,0,0
2C-150x75x20,150,150,20,4.5,27.94,22,0,0,978,198.4,5.92,2.66,130.4,39.6,0,0
2C-150x75x20,150,150,20,4,25.1,19.7,0,0,890,182,5.95,2.69,118.6,36.4,0,0
2C-150x75x20,150,150,20,3.2,20.42,16.02,0,0,732,152.8,5.99,2.74,97.8,30.6,0,0
2C-150x65x20,150,130,20,4,23.5,18.44,0,0,802,127.4,5.48,2.33,107,29,0,0
2C-150x65x20,150,130,20,3.2,19.134,15.02,0,0,664,107.6,5.89,2.37,88.6,24.4,0,0
2C-150x65x20,150,130,20,2.3,14.024,11,0,0,496,82.2,5.94,2.42,66,18.74,0,0
2C-150x50x20,150,100,20,4.5,23.44,18.4,0,0,736,71.4,5.6,1.75,98,21,0,0
2C-150x50x20,150,100,20,3.2,17.214,13.52,0,0,560,56.6,5.71,1.81,74.8,16.38,0,0
2C-150x50x20,150,100,20,2.3,12.644,9.92,0,0,420,43.8,5.77,1.86,56,12.66,0,0
2C-125x50x20,125,100,20,4.5,21.18,16.64,0,0,476,67,4.74,1.78,76,20,0,0
2C-125x50x20,125,100,20,4,19.096,15,0,0,434,66.2,4.77,1.81,69.4,18.76,0,0
2C-125x50x20,125,100,20,3.2,15.614,12.26,0,0,362,53.2,4.82,1.85,58,16.04,0,0
2C-125x50x20,125,100,20,2.3,11.494,9.02,0,0,274,41.2,4.88,1.89,43.8,12.44,0,0
2C-120x60x25,120,120,25,4.5,23.44,18.4,0,0,504,116,4.63,2.22,83.8,31,0,0
2C-120x60x25,120,120,25,3.2,16.574,13.02,0,0,372,81.8,4.74,2.22,62,21,0,0
2C-120x60x25,120,120,25,2.3,12.184,9.56,0,0,280,62.6,4.79,2.27,46.6,16.2,0,0
2C-120x40x20,120,80,20,3.2,14.014,11,0,0,288,30.6,4.53,1.48,48,11.42,0,0
2C-100x50x20,100,100,20,4.5,18.938,14.86,0,0,278,61.8,3.82,1.81,55.4,19.64,0,0
2C-100x50x20,100,100,20,4,17.096,13.42,0,0,254,57.4,3.85,1.83,50.8,18.26,0,0
2C-100x50x20,100,100,20,3.2,14.014,11,0,0,214,49,3.9,1.87,42.6,15.62,0,0
2C-100x50x20,100,100,20,2.8,12.41,9.74,0,0,199.6,46.4,3.96,1.91,40,14.88,0,0
2C-100x50x20,100,100,20,2.3,10.344,8.12,0,0,161.4,38,3.95,1.92,32,12.12,0,0
2C-100x50x20,100,100,20,2,9.074,7.12,0,0,142.8,33.8,3.97,1.93,28.6,10.8,0,0
2C-100x50x20,100,100,20,1.6,7.344,5.76,0,0,116.8,28,3.99,1.95,23.4,8.94,0,0
2C-90x45x15,90,90,15,3.2,12.734,10,0,0,153.8,36.6,3.48,1.69,34.2,13.14,0,0
2C-90x45x15,90,90,15,2.3,9.424,7.4,0,0,117.2,28.4,3.53,1.74,26,10.28,0,0
2C-90x45x15,90,90,15,1.6,6.704,5.26,0,0,85.2,21,3.56,1.77,18.92,11.6,0,0
2C-75x45x15,75,90,15,2.3,8.274,6.5,0,0,74.2,23.6,3,1.69,19.8,8.48,0,0
2C-75x45x15,75,90,15,2,7.274,5.72,0,0,66,21,3.01,1.7,17.58,7.52,0,0
2C-75x45x15,75,90,15,1.6,5.904,4.64,0,0,54.2,17.42,3.03,1.72,14.48,6.26,0,0
2C-75x35x15,75,70,15,2.3,7.354,5.78,0,0,62,13.16,2.91,1.34,16.56,5.96,0,0
2-C70x40x25,70,80,25,1.6,6.064,4.76,0,0,44,16,2.69,1.62,12.58,7.34,0,0
2C-70x40x25,70,80,25,2.3,5.744,4.5,0,0,31.2,6.64,2.33,1.07,10.4,3.42,0,0
2C-60x30x10,60,60,10,2,5.074,3.98,0,0,28,6.02,2.35,1.09,9.3,3.1,0,0
2C-60x30x10,60,60,10,1.6,4.144,3.26,0,0,23.2,5.12,2.37,1.11,7.76,2.64,0,0
